Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
65,700,125,482,110,63,633,62,419,47,14,467,520,513,150,20,0,0,0,0,0,54,13,65,343,266,347,43,72,1025,150,801.5691798050954,204.80139133345187,80.26902781134706,13.064922989129961,73.8611083348847,22.631707012643812
66,340,102,91,643,62,267,42,36,571,16,503,493,504,253,262,0,0,0,6,0,390,20,7,230,36,4,30,32,679,253,1015.6130786316065,221.9377690924474,79.95854917535154,12.317888497841624,15.882921942643014,15.077041431144611
67,703,106,386,132,72,649,36,326,66,4,526,526,448,370,101,0,0,0,0,0,227,28,218,391,201,189,50,137,711,370,1166.3138368285968,240.57458012260628,94.35699999247247,13.355823586581657,68.48783263870688,30.006874297193455
68,711,103,173,217,62,646,34,115,164,0,484,500,516,203,234,0,0,0,0,0,351,34,85,528,40,50,39,65,756,203,949.6912056808919,218.59116409243717,98.54781565316961,15.189785702227178,327.7373479711864,232.4581316803644
69,433,80,476,452,58,382,16,406,385,2,468,482,550,213,1,0,31,0,0,0,39,16,118,84,297,347,29,59,978,213,966.0540376055635,215.18580805496256,83.4506768275821,13.52319393473512,59.608143353114514,29.33608185690156
70,698,81,118,282,64,634,19,66,219,13,491,503,506,145,257,0,0,0,0,0,396,19,11,590,35,12,33,54,806,145,1117.6556127214567,238.96032595163695,87.13436427564933,14.070198066035376,6.673516115450011,1.3434548971817413
71,834,89,161,130,60,775,40,106,69,2,486,487,527,203,226,0,0,0,0,0,336,32,75,658,68,61,34,45,789,203,1056.4125506751254,231.82551029515588,97.38036584297899,14.482872396319445,302.82637534249494,292.2026268687289
72,596,92,471,273,66,528,39,415,213,10,473,530,497,156,2,0,1,0,0,0,81,22,33,253,275,334,45,81,1049,156,836.1189478723927,202.78186773761595,83.78694731941029,13.072412492258232,34.78223287174432,8.3394486317049
73,574,84,472,304,64,517,23,420,230,3,482,534,484,195,2,0,29,0,0,0,91,23,130,202,314,335,32,85,998,195,802.2517299258828,198.06977219367045,76.89385832654051,12.86609824019672,26.746191524543345,5.380327040717882
74,557,102,452,325,64,502,35,389,264,14,491,487,522,132,0,0,21,1,0,0,76,26,32,208,294,316,39,73,1072,132,981.4682921516934,226.04341512194236,86.95239285978614,14.040033605121062,36.36357032175415,8.378731640312289
75,636,84,144,370,79,571,34,85,306,27,468,497,535,194,187,0,0,0,0,0,357,34,29,491,76,51,22,34,829,194,894.6624278313822,205.97673304642035,94.8959029942978,13.218461193443678,54.4786563851382,34.370191138434556
76,708,84,528,103,77,643,28,469,42,16,484,495,521,160,0,0,0,1,1,0,13,25,93,313,298,386,34,83,1038,160,828.057062416425,192.67899756491548,70.10385818386962,10.931782969738395,95.60475043445035,27.067175318751698
77,570,241,554,89,46,502,184,482,29,0,463,524,513,120,0,0,0,0,0,0,11,8,19,202,295,413,36,69,1077,120,743.0587919862052,180.87383059940515,58.675537286933505,10.24494713967706,15.811984217162692,5.356772105824637
78,460,92,96,584,66,395,37,26,527,6,489,503,508,261,202,0,1,0,0,0,405,37,23,314,79,0,26,26,730,261,1165.904953956332,247.89394890820623,105.88733366802548,15.701423514540245,14.829511008344166,6.798335930899661
79,392,90,148,535,65,330,37,85,478,0,508,487,505,161,270,0,0,0,0,0,346,27,0,283,47,40,31,45,769,161,993.3051220359444,231.43378334033702,91.18426873369005,14.161806487935348,15.73543379852918,12.824170596555142
80,671,125,447,192,64,618,67,394,131,7,496,473,531,164,1,0,5,0,1,0,62,29,82,320,294,332,30,62,1053,164,933.1602393682127,225.59827286552093,89.05066501545868,14.362004158940893,51.57275858546927,14.072009001894815
81,358,94,87,611,70,300,35,27,550,0,516,482,502,201,280,0,0,0,0,0,381,35,1,254,45,3,24,24,711,201,1051.3157335657404,238.0394676812698,96.76678936116603,14.35137829366391,44.801891078072074,85.03342958946438
82,345,100,123,617,66,283,33,66,567,9,488,499,513,222,249,0,0,0,0,0,373,33,2,230,53,21,33,45,736,222,1040.8826050890366,237.61823258716848,104.35977099328511,15.601918268298691,86.7671116780512,114.97549536536278
