Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_NB_HighThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
136,333,276,310,304,277,333,276,310,304,277,488,475,537,847,0,0,12,45,176,0,202,79,311,22,90,97,119,213,653,847
137,290,310,293,322,285,290,310,293,322,285,501,481,518,850,0,0,0,64,189,0,193,100,277,12,97,99,88,194,650,850
138,292,305,294,259,350,292,305,294,259,350,457,499,544,850,0,0,0,51,224,0,177,95,280,10,81,98,98,196,650,850
139,279,314,315,279,313,279,314,315,279,313,482,514,504,853,0,0,3,51,215,0,196,99,276,2,89,103,102,212,647,853
140,292,309,303,299,297,292,309,303,299,297,523,464,513,740,0,0,37,59,167,0,185,110,279,13,92,112,96,191,760,740
141,284,305,326,299,286,284,305,326,299,286,510,484,506,697,0,0,43,52,183,0,188,105,279,5,100,113,99,213,803,697
142,290,291,308,304,307,290,291,308,304,307,481,515,504,740,0,0,27,57,210,0,201,96,284,5,83,104,107,204,760,740
143,297,317,302,292,292,297,317,302,292,292,520,476,504,715,0,0,38,50,207,0,175,104,286,10,98,94,113,208,785,715
144,309,324,272,310,285,309,324,272,310,285,476,501,523,741,0,0,34,50,192,0,220,113,303,6,100,89,87,183,759,741
145,302,325,277,283,313,302,325,277,283,313,472,513,515,810,0,0,8,46,234,0,184,109,285,16,103,95,86,182,690,810
146,286,284,300,326,304,286,284,300,326,304,501,528,471,823,0,0,0,55,199,0,229,100,279,6,87,100,102,200,677,823
147,289,334,296,287,294,289,334,296,287,294,525,488,487,705,0,0,35,47,199,0,185,110,273,13,110,104,101,192,795,705
148,313,299,283,308,297,313,299,283,308,297,511,494,495,794,0,0,11,53,208,0,197,97,306,5,107,89,103,194,706,794
149,291,297,281,293,338,291,297,281,293,338,472,494,534,757,0,0,15,59,205,0,189,96,274,16,95,100,83,181,743,757
150,296,298,313,295,298,296,298,313,295,298,474,507,519,760,0,0,31,48,203,0,203,82,289,6,104,101,91,212,740,760
151,291,284,317,305,303,291,284,317,305,303,533,469,498,853,0,0,0,50,174,0,183,106,289,2,105,112,118,205,647,853
