Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_NB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
125,274,291,310,303,322,274,291,310,303,322,519,472,509,508,0,0,26,82,188,0,179,92,167,75,90,105,98,205,992,508
126,294,287,310,318,291,294,287,310,318,291,498,511,491,531,0,0,49,80,200,0,208,87,212,52,101,103,99,207,969,531
127,314,289,303,284,310,314,289,303,284,310,492,510,498,522,0,0,47,72,205,0,205,93,202,93,106,100,90,203,978,522
128,280,323,287,308,302,280,323,287,308,302,464,505,531,449,0,0,54,71,208,0,193,99,147,94,85,104,80,183,1051,449
129,342,294,285,282,297,342,294,285,282,297,443,507,550,475,0,0,58,62,213,0,196,82,193,105,98,98,93,187,1025,475
130,311,291,289,304,305,311,291,289,304,305,496,465,539,522,0,0,50,91,183,0,189,81,206,90,100,93,97,196,978,522
131,290,305,284,337,284,290,305,284,337,284,476,499,525,511,0,0,42,74,196,0,214,107,174,81,88,89,83,195,989,511
132,308,297,311,286,298,308,297,311,286,298,512,492,496,496,0,0,39,74,187,0,199,97,172,87,106,106,105,205,1004,496
133,288,328,285,279,320,288,328,285,279,320,484,502,514,485,0,0,47,84,228,0,181,91,178,66,105,93,84,192,1015,485
134,314,266,322,311,287,314,266,322,311,287,525,505,470,471,0,0,42,75,189,0,210,94,186,94,102,106,113,216,1029,471
135,272,279,322,345,282,272,279,322,345,282,492,524,484,567,0,0,49,67,210,0,211,90,213,53,79,103,119,219,933,567
136,281,308,309,296,306,281,308,309,296,306,465,518,517,464,0,0,46,85,201,0,199,93,172,79,87,118,93,191,1036,464
137,317,274,301,300,308,317,274,301,300,308,503,511,486,515,0,0,51,64,197,0,203,96,180,98,105,111,100,190,985,515
138,290,293,305,291,321,290,293,305,291,321,499,528,473,500,0,0,51,77,228,0,195,103,188,73,85,105,108,200,1000,500
139,302,328,292,304,274,302,328,292,304,274,486,495,519,545,0,0,26,75,182,0,205,107,219,65,101,108,92,184,955,545
140,314,276,281,338,291,314,276,281,338,291,500,503,497,505,0,0,55,72,192,0,221,93,197,75,104,90,100,191,995,505
141,307,297,289,288,319,307,297,289,288,319,511,482,507,458,0,0,27,80,193,0,193,97,159,95,99,96,92,193,1042,458
142,307,298,301,290,304,307,298,301,290,304,524,501,475,542,0,0,47,78,205,0,195,95,243,49,105,101,112,200,958,542
143,302,326,296,304,272,302,326,296,304,272,499,494,507,461,0,0,61,70,198,0,191,125,184,93,86,105,90,191,1039,461
144,295,309,290,301,305,295,309,290,301,305,510,489,501,576,0,0,19,91,189,0,214,99,228,48,103,86,102,204,924,576
145,291,322,307,309,271,291,322,307,309,271,515,499,486,502,0,0,44,71,193,0,195,117,177,87,109,111,84,196,998,502
146,296,282,315,296,311,296,282,315,296,311,479,514,507,501,0,0,38,71,209,0,210,87,188,80,99,95,116,220,999,501
147,314,313,258,307,308,314,313,258,307,308,486,486,528,534,0,0,31,64,201,0,208,110,199,93,104,77,86,181,966,534
148,331,301,301,293,274,331,301,301,293,274,509,486,505,510,0,0,36,67,186,0,205,94,192,108,103,95,117,206,990,510
149,311,299,289,293,308,311,299,289,293,308,504,475,521,512,0,0,36,82,174,0,204,110,214,73,100,97,91,192,988,512
150,286,337,297,282,298,286,337,297,282,298,466,504,530,527,0,0,32,60,205,0,196,120,200,62,84,103,87,194,973,527
