source_file,source_path,condition,role,run,adaptive_count,maladaptive_count,total_complex_behaviors,adaptive_pct,maladaptive_pct
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,129,1663,324,1987,83.6940110719678,16.305988928032207
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,130,1679,276,1955,85.88235294117646,14.117647058823529
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,131,1660,321,1981,83.79606259464917,16.203937405350832
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,132,1331,589,1920,69.32291666666667,30.677083333333332
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,133,1639,344,1983,82.65254664649521,17.34745335350479
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,134,1578,287,1865,84.6112600536193,15.388739946380698
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,135,1612,278,1890,85.29100529100529,14.708994708994707
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,136,1699,241,1940,87.57731958762886,12.422680412371134
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,137,1612,190,1802,89.45615982241954,10.543840177580465
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,138,1677,300,1977,84.82549317147192,15.174506828528072
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,139,1549,414,1963,78.90983188996434,21.09016811003566
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,140,1545,414,1959,78.86676875957122,21.133231240428792
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,141,1710,227,1937,88.28084667010842,11.719153329891585
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,142,1568,215,1783,87.94167134043747,12.058328659562536
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,143,1492,465,1957,76.23914154317833,23.760858456821666
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,144,1721,230,1951,88.21117375704766,11.788826242952332
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,145,1610,337,1947,82.69131997945557,17.30868002054443
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,146,1773,214,1987,89.22999496728737,10.770005032712632
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,147,1736,230,1966,88.30111902339777,11.698880976602238
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,148,1675,305,1980,84.59595959595958,15.404040404040403
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,149,1677,326,2003,83.72441337993011,16.275586620069895
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,150,1625,336,1961,82.8658847526772,17.134115247322796
